	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC	L_FCC
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
72	0.2770	0.2670	0.2751	0.2680	0.2655	0.2648	0.2733	0.2693	0.2667	0.2651	0.2671	0.0443
73	0.2765	0.2662	0.2732	0.2648	0.2616	0.2602	0.2710	0.2659	0.2630	0.2620	0.2641	0.0443
74	0.2739	0.2636	0.2691	0.2597	0.2558	0.2537	0.2669	0.2602	0.2574	0.2569	0.2591	0.0443
75	0.2694	0.2590	0.2628	0.2529	0.2483	0.2453	0.2611	0.2523	0.2498	0.2497	0.2520	0.0443
76	0.2628	0.2524	0.2543	0.2443	0.2389	0.2348	0.2532	0.2419	0.2402	0.2404	0.2428	0.0443
77	0.2540	0.2438	0.2438	0.2338	0.2276	0.2224	0.2432	0.2294	0.2287	0.2292	0.2316	0.0443
78	0.2431	0.2333	0.2313	0.2216	0.2148	0.2084	0.2310	0.2147	0.2153	0.2160	0.2184	0.0443
79	0.2301	0.2209	0.2175	0.2078	0.2004	0.1929	0.2168	0.1984	0.2004	0.2017	0.2035	0.0443
80	0.2153	0.2069	0.2025	0.1927	0.1850	0.1764	0.2009	0.1807	0.1842	0.1856	0.1872	0.0443
81	0.1987	0.1917	0.1858	0.1767	0.1690	0.1592	0.1836	0.1621	0.1669	0.1687	0.1702	0.0443
82	0.1810	0.1754	0.1685	0.1601	0.1523	0.1419	0.1654	0.1434	0.1492	0.1513	0.1525	0.0443
83	0.1625	0.1584	0.1503	0.1432	0.1354	0.1249	0.1468	0.1250	0.1315	0.1337	0.1347	0.0443
84	0.1439	0.1410	0.1325	0.1264	0.1189	0.1087	0.1283	0.1072	0.1146	0.1168	0.1173	0.0443
85	0.1258	0.1238	0.1155	0.1103	0.1031	0.0936	0.1106	0.0908	0.0985	0.1008	0.1011	0.0443
86	0.1085	0.1071	0.0995	0.0954	0.0888	0.0801	0.0943	0.0764	0.0839	0.0863	0.0868	0.0443
87	0.0925	0.0919	0.0849	0.0822	0.0763	0.0688	0.0800	0.0646	0.0712	0.0737	0.0748	0.0443
88	0.0785	0.0782	0.0725	0.0710	0.0659	0.0597	0.0682	0.0559	0.0610	0.0637	0.0656	0.0443
89	0.0668	0.0665	0.0624	0.0622	0.0582	0.0532	0.0591	0.0500	0.0537	0.0565	0.0595	0.0443
90	0.0576	0.0572	0.0550	0.0559	0.0532	0.0494	0.0531	0.0469	0.0494	0.0525	0.0565	0.0443
91	0.0517	0.0507	0.0501	0.0521	0.0507	0.0483	0.0501	0.0462	0.0478	0.0515	0.0564	0.0443
92	0.0487	0.0470	0.0477	0.0506	0.0508	0.0498	0.0499	0.0471	0.0489	0.0529	0.0587	0.0443
93	0.0482	0.0463	0.0474	0.0511	0.0525	0.0528	0.0521	0.0492	0.0514	0.0562	0.0622	0.0443
94	0.0494	0.0476	0.0484	0.0527	0.0551	0.0563	0.0554	0.0518	0.0544	0.0599	0.0655	0.0443
95	0.0514	0.0501	0.0500	0.0545	0.0573	0.0591	0.0586	0.0538	0.0564	0.0627	0.0672	0.0443
96	0.0533	0.0522	0.0512	0.0552	0.0582	0.0601	0.0605	0.0548	0.0566	0.0635	0.0664	0.0443
97	0.0542	0.0531	0.0511	0.0542	0.0572	0.0588	0.0604	0.0540	0.0547	0.0618	0.0633	0.0443
98	0.0530	0.0520	0.0490	0.0513	0.0542	0.0551	0.0580	0.0514	0.0509	0.0577	0.0580	0.0443
99	0.0495	0.0488	0.0452	0.0468	0.0494	0.0496	0.0539	0.0470	0.0453	0.0519	0.0513	0.0443
100	0.0439	0.0440	0.0402	0.0430	0.0443	0.0437	0.0482	0.0418	0.0395	0.0448	0.0453	0.0443
101	0.0390	0.0386	0.0369	0.0415	0.0413	0.0400	0.0432	0.0386	0.0361	0.0392	0.0426	0.0443
