	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles	Right Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X
61	-45.4	-35.4	-32.9	-38.4	-45.7	-44.5	-36.8	-36.9	-32.5	-31.7	-34.3	-39.0	-33.9	-0.0
62	-52.4	-41.9	-38.7	-44.9	-53.1	-51.5	-43.6	-43.9	-39.0	-37.9	-40.8	-46.0	-40.4	-0.0
63	-59.2	-48.9	-45.0	-51.6	-60.4	-58.5	-51.0	-51.4	-46.2	-44.8	-47.8	-53.0	-47.4	-0.0
64	-65.2	-56.1	-51.4	-58.1	-67.3	-65.0	-58.5	-58.8	-53.6	-52.1	-54.7	-59.5	-54.4	-0.0
65	-70.1	-62.9	-57.7	-64.0	-73.0	-70.5	-65.7	-65.7	-60.8	-59.4	-61.1	-64.8	-60.7	-0.0
66	-73.5	-68.8	-63.5	-68.7	-77.3	-74.6	-71.9	-71.6	-67.0	-66.0	-66.5	-68.7	-65.7	-0.0
67	-75.4	-73.2	-68.3	-72.0	-79.8	-77.2	-76.9	-76.1	-71.7	-71.4	-70.4	-71.0	-69.0	-0.0
68	-75.8	-75.7	-71.9	-73.9	-80.6	-78.3	-80.2	-78.9	-74.7	-75.1	-72.8	-71.8	-70.5	-0.0
69	-75.0	-76.4	-74.2	-74.3	-79.8	-77.9	-81.8	-80.0	-75.9	-76.9	-73.7	-71.4	-70.3	-0.0
70	-73.1	-75.4	-75.1	-73.7	-77.8	-76.4	-81.7	-79.4	-75.4	-76.8	-73.2	-69.9	-68.8	-0.0
71	-70.4	-73.2	-74.9	-72.2	-74.9	-74.1	-80.2	-77.4	-73.9	-75.2	-71.6	-67.6	-66.5	-0.0
72	-67.3	-70.3	-73.7	-70.1	-71.4	-71.1	-77.5	-74.3	-71.5	-72.4	-69.3	-64.9	-63.7	-0.0
73	-64.0	-67.0	-71.7	-67.5	-67.6	-67.8	-74.0	-70.5	-68.6	-68.8	-66.4	-61.7	-60.5	-0.0
74	-60.4	-63.5	-69.1	-64.7	-63.7	-64.2	-70.1	-66.3	-65.4	-64.8	-63.2	-58.3	-57.2	-0.0
75	-56.6	-60.0	-66.2	-61.7	-59.7	-60.5	-66.0	-61.9	-61.9	-60.7	-59.8	-54.7	-53.8	-0.0
76	-52.7	-56.5	-63.0	-58.4	-55.6	-56.7	-61.8	-57.4	-58.2	-56.5	-56.3	-50.8	-50.3	-0.0
77	-48.5	-52.8	-59.6	-54.9	-51.3	-52.8	-57.6	-52.8	-54.2	-52.3	-52.6	-46.8	-46.5	-0.0
78	-44.2	-49.0	-56.0	-51.2	-47.0	-48.8	-53.3	-48.1	-50.0	-48.1	-48.7	-42.6	-42.5	-0.0
79	-39.8	-45.0	-52.3	-47.3	-42.6	-44.6	-48.9	-43.3	-45.6	-43.8	-44.7	-38.4	-38.3	-0.0
80	-35.3	-40.8	-48.4	-43.3	-38.0	-40.4	-44.4	-38.4	-41.0	-39.4	-40.5	-33.9	-33.8	-0.0
81	-30.8	-36.5	-44.4	-39.1	-33.5	-36.0	-39.8	-33.5	-36.3	-34.9	-36.3	-29.3	-29.3	-0.0
82	-26.2	-32.0	-40.3	-34.8	-28.9	-31.5	-35.2	-28.6	-31.5	-30.4	-31.9	-24.5	-24.7	-0.0
83	-21.6	-27.5	-36.1	-30.3	-24.2	-27.0	-30.5	-23.7	-26.8	-25.8	-27.4	-19.5	-20.0	-0.0
84	-17.0	-23.0	-31.7	-25.8	-19.6	-22.4	-25.9	-18.8	-22.0	-21.2	-22.9	-14.4	-15.5	-0.0
85	-12.6	-18.4	-27.2	-21.3	-15.1	-17.8	-21.2	-14.0	-17.2	-16.7	-18.3	-9.4	-11.1	-0.0
86	-8.2	-14.0	-22.7	-16.7	-10.7	-13.2	-16.6	-9.3	-12.6	-12.3	-13.7	-4.5	-6.8	-0.0
87	-4.1	-9.6	-18.2	-12.1	-6.4	-8.8	-12.1	-4.8	-8.1	-8.0	-9.3	0.2	-2.8	-0.0
88	-0.3	-5.4	-13.7	-7.6	-2.3	-4.4	-7.7	-0.5	-3.9	-4.0	-5.0	4.5	0.9	-0.0
89	3.3	-1.3	-9.3	-3.2	1.6	-0.3	-3.5	3.5	0.1	-0.1	-1.0	8.4	4.3	-0.0
90	6.6	2.4	-4.9	0.9	5.3	3.5	0.4	7.2	3.8	3.6	2.7	11.7	7.4	-0.0
91	9.7	6.0	-0.8	4.9	8.7	7.0	4.0	10.5	7.3	7.2	6.1	14.5	10.2	-0.0
