	Gait FB - IOR 1.c3d	Gait FB - IOR 1.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 2.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 6.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 7.c3d	Gait FB - IOR 8.c3d	Gait FB - IOR 8.c3d	Static.c3d
	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles	Left Foot Pitch Angles
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X
80	-40.1	-40.8	-37.8	-33.9	-34.5	-31.0	-38.1	-32.1	-35.3	-32.7	-30.8	-0.0
81	-35.6	-36.4	-32.7	-29.1	-29.9	-26.3	-33.3	-27.3	-30.3	-27.9	-26.0	-0.0
82	-30.8	-31.8	-27.5	-24.3	-25.1	-21.5	-28.4	-22.5	-25.3	-23.0	-21.0	-0.0
83	-25.9	-27.1	-22.4	-19.4	-20.2	-16.7	-23.4	-17.5	-20.1	-18.0	-16.0	-0.0
84	-20.9	-22.3	-17.2	-14.6	-15.3	-11.8	-18.2	-12.6	-14.9	-13.0	-11.0	-0.0
85	-15.9	-17.4	-12.2	-9.8	-10.4	-7.0	-13.1	-7.7	-9.8	-8.0	-6.0	-0.0
86	-10.9	-12.5	-7.2	-5.0	-5.5	-2.2	-7.9	-2.9	-4.7	-3.0	-1.0	-0.0
87	-6.0	-7.6	-2.5	-0.3	-0.7	2.5	-2.9	1.7	0.3	1.8	3.8	-0.0
88	-1.2	-2.8	2.1	4.2	3.8	6.9	2.0	5.9	5.1	6.4	8.4	-0.0
89	3.4	1.9	6.4	8.5	8.1	11.2	6.7	9.8	9.7	10.8	12.7	-0.0
90	7.8	6.5	10.4	12.5	12.1	15.1	10.9	13.2	13.9	14.8	16.6	-0.0
91	11.9	10.7	14.1	16.3	15.6	18.6	14.7	16.1	17.7	18.3	20.2	-0.0
92	15.6	14.7	17.4	19.6	18.8	21.6	18.0	18.7	20.9	21.5	23.2	-0.0
93	18.9	18.2	20.2	22.4	21.5	24.2	20.8	20.9	23.6	24.1	25.6	-0.0
94	21.8	21.2	22.7	24.7	23.8	26.2	23.0	22.7	25.8	26.3	27.5	-0.0
95	24.1	23.7	24.7	26.5	25.6	27.7	24.7	24.1	27.5	27.9	28.7	-0.0
96	25.9	25.8	26.1	27.6	26.8	28.5	25.8	25.1	28.5	28.8	29.2	-0.0
97	27.1	27.2	27.0	27.9	27.3	28.6	26.3	25.5	28.9	29.0	28.9	-0.0
98	27.5	27.9	27.2	27.5	27.2	28.0	26.2	25.2	28.5	28.5	27.9	-0.0
99	26.9	27.8	26.5	26.0	26.2	26.7	25.5	24.2	27.3	27.2	26.1	-0.0
100	25.4	26.8	24.8	23.5	24.4	24.5	24.0	22.4	25.4	25.3	23.5	-0.0
101	23.0	24.9	22.2	20.1	21.8	21.6	22.0	19.7	22.7	22.7	20.2	-0.0
